tempo (s),modo_1,modo_2,modo_3,modo_4,modo_5,modo_6,modo_7,modo_8,modo_9,modo_10,modo_11,modo_12,modo_13,modo_14,modo_15,modo_16,modo_17,modo_18,modo_19,modo_20
80.72562358276645,-1.7290834690674358e-06,-1.610471172333044e-07,2.158318577322e-07,2.8962840776516115e-07,-8.86593313676279e-08,-1.5921521779120946e-07,-2.481782470781702e-07,-2.0427660383585424e-07,-1.0665243455125305e-07,-4.2548798250324594e-08,-1.629749857238705e-08,2.488304676125531e-08,2.4503296864545406e-08,-4.902424014330532e-09,-1.4602491605072414e-08,-1.2849841228109103e-08,-1.6306982220694463e-08,-1.520631730985942e-08,-3.7129732502475616e-09,8.68786280353357e-09
80.74829931972789,-2.697590946535346e-06,7.262511913145838e-07,7.017332837047721e-07,7.614502310416268e-07,3.0524608140318057e-07,-2.133469828511422e-07,-4.3751355409823653e-07,-3.0355103356895055e-08,1.6924219491066968e-07,-7.623392595042891e-09,6.49573737118255e-08,1.2093255402942372e-08,-4.938670771137197e-08,-2.2858994735792783e-08,-2.4169353915664205e-08,-8.166758038803403e-09,-2.1509446413226513e-08,1.3099162419471409e-08,1.3697848131180013e-08,-3.869316032674164e-08
80.77097505668934,-1.220054201276842e-06,1.3467079949515678e-06,-1.0722067908951778e-06,-5.411703196499148e-07,-3.6931242025725683e-07,5.375173315000557e-08,-3.329301643693677e-07,-1.442349175024696e-07,1.93717345779512e-07,-4.774265820050748e-08,-1.1922736905914728e-07,-7.244465417292845e-08,1.2796387470436532e-08,4.0194238342363576e-08,-3.174591603362586e-09,5.659136108202311e-09,-6.464584805528048e-09,-1.6876995615105594e-09,-1.5593831350199482e-08,5.000263695605245e-10
80.7936507936508,-2.5013242415198883e-06,-3.3469528594727974e-06,9.298430084012098e-07,1.9142513839659915e-07,-5.910228646164902e-08,2.45174201954899e-07,-7.680289373480178e-08,-1.6313923464777905e-07,-2.171358709316568e-08,-2.0772304898567606e-08,3.001741959427992e-08,-4.0355065164155916e-09,3.982655388072329e-08,3.8223508984060876e-08,1.3178484403187861e-09,1.7054896745051768e-08,5.891814336123653e-09,3.165410820450227e-09,-8.910672902824387e-10,6.0893572713681255e-09
80.81632653061224,-3.8075234001199345e-06,4.431884038284784e-08,-7.86471446000895e-07,-3.287277924728086e-07,2.3492012706504384e-07,2.0379034184927033e-08,1.3250467433441138e-07,-3.007601729735209e-08,-9.70322740149963e-08,-1.3377004089196468e-08,1.4538409622175148e-08,1.2615884644222773e-08,1.7872882873279336e-09,-2.29697745631784e-08,8.505988304587826e-09,-1.1618769149491258e-09,3.600829774826083e-09,-2.4556888348242643e-09,2.6744371204410206e-09,-2.5252452588830184e-09
80.83900226757369,-1.758702083891067e-06,4.25788243503078e-06,8.840937606780413e-07,4.779324380441526e-07,-1.1303513300279948e-07,-6.49991133540987e-08,1.2225707863880914e-07,-4.710997852116554e-08,-4.558606121870265e-08,-9.889899256304694e-09,-2.3197907493571744e-08,-5.470156180149139e-09,-5.100325862014517e-08,-6.464060780304095e-08,-2.079134273824741e-08,-6.541781031390762e-09,-1.7686593703377874e-08,-9.288028382822107e-09,-2.52226107681362e-09,-4.342283515930031e-09
80.86167800453515,2.338445018290888e-06,-3.1740549109765938e-06,-8.140481417059518e-07,-3.3901312361086604e-07,9.049037345518799e-08,4.4509143554914505e-08,1.67814979863869e-07,3.127790767122685e-08,6.24633811750662e-08,3.6636002211160455e-08,-7.200987820385625e-09,2.7579287025005558e-08,2.674376331696627e-08,-1.652870588827372e-08,9.193938746093521e-09,7.138650448300299e-09,-6.704652308982946e-09,4.223267736903819e-09,3.4062861800004696e-09,5.769827951733223e-09
80.8843537414966,6.805928418919226e-06,-1.268115103044341e-06,9.767134037847097e-07,2.4794132095669873e-08,8.436008033870111e-08,-7.855227307142932e-08,1.2000632850606224e-07,3.9057072703911714e-09,-4.8623668446266216e-08,2.6280102573110814e-08,-2.422066117614799e-08,4.7909407802569114e-08,-2.1588819470551314e-08,-2.465577203983373e-08,-1.9620711569564523e-08,-7.045927094191591e-09,-1.1522674705351934e-08,-4.266770741790317e-09,1.2755122714962192e-08,-1.2382086670685124e-08
80.90702947845806,6.657924207538101e-06,3.776517705855362e-06,-8.686362791850049e-07,1.2172698345631145e-07,-1.2490137313217384e-07,2.6277342679479213e-08,4.0603263419780295e-08,-1.1683276610497593e-07,-1.975528239732785e-08,-5.55533322829072e-08,2.2379621229192614e-08,-7.409406535191916e-09,1.2556028595010654e-08,2.0605391572677113e-08,-1.0652746326006889e-09,-1.631935643023176e-08,-7.279483842379622e-10,3.4430253826331843e-09,-1.9099691132451958e-08,-7.639986010459826e-09
80.9297052154195,-9.123700073871672e-07,-2.002992435054245e-06,5.861222605721792e-07,-1.3612943758562522e-07,-2.628317612476582e-08,9.081329872725704e-08,1.1099435462639873e-07,4.9190586106675525e-09,-3.2622258642087247e-09,1.374217192513362e-09,1.5585925828400404e-08,2.3489348220273536e-08,-4.1885918787655536e-08,2.7539496449662166e-08,-9.271026731203373e-09,-1.3290235120688979e-08,1.3041820689153982e-08,6.224392759113684e-10,1.4960472969406892e-08,2.630107704769177e-09
80.95238095238095,-8.644719853752996e-06,-1.503404269380681e-06,-5.280468936096302e-07,-1.3346884018962588e-08,4.558298546654655e-08,-1.6377758490289055e-08,1.245750552053558e-07,1.7330784405741936e-08,6.604730404385195e-09,-1.5427527820131832e-08,-1.5616874295094318e-09,-2.4574226329783988e-08,2.4785196827653763e-08,3.240618634888525e-08,9.98921501470176e-09,7.478802203955194e-09,2.395206889030277e-10,1.927389852018145e-09,2.5344663712133602e-09,1.4791290306565645e-09
80.97505668934241,-9.12032982342254e-06,2.4760443478136397e-06,2.4396247832623554e-07,2.591295343601226e-07,1.6422823818679628e-07,-8.996976281886763e-08,7.56027526762601e-08,-5.062802219260624e-09,-1.8169975513068564e-08,6.185252042002472e-09,-1.0196875593605264e-08,2.8655031613307533e-10,1.605213759861831e-08,-2.3531832270188684e-09,-6.740962450972342e-10,2.285167706401805e-09,-7.538053126671317e-09,-1.0372829887557738e-08,7.3308026238817634e-09,4.1187366471334184e-10
80.99773242630386,-2.71005375296648e-06,9.437226086063263e-07,7.446175443607352e-08,-2.6120548475410954e-07,-3.931698420481796e-08,7.281376576178217e-08,4.886184213604532e-08,6.195732534478266e-08,-2.0878221535325892e-08,4.720187862147396e-08,1.7672820787159538e-08,2.444859589262185e-08,-3.793270809674089e-08,-2.4805782754984666e-08,-7.0257377005600975e-09,-1.8312295286510581e-09,7.669361565465995e-09,3.059952628859933e-09,5.822334057044904e-09,8.779265495926848e-09
81.0204081632653,4.48236621135891e-06,-2.134023561148747e-06,-1.0849435891175932e-06,1.3228254313305313e-07,-3.6961452344329336e-08,-4.877214609219865e-07,-1.7710220601575087e-09,-1.932584430688248e-09,-2.0486399066114737e-08,-7.797237105228223e-09,-8.49104055255138e-09,2.4626802193544377e-08,-2.8341042214606725e-08,1.2724066884121287e-08,-2.114471877098324e-09,-9.442770570122677e-09,-4.463956815920428e-09,-2.3862083847176482e-08,-3.629382131911932e-08,-1.8489883203526434e-08
81.04308390022676,6.973582503913478e-06,-2.4654828263817655e-06,9.188305191606024e-07,-3.5073756127591153e-07,-1.1863908769541399e-07,-3.8504755007143953e-07,-1.275289138650696e-07,1.646538715950722e-08,4.537192660176836e-08,-9.462920237541428e-09,-2.5898917266740524e-09,-1.7138235962599558e-08,-2.9254867548204313e-08,2.6739285184047273e-08,2.5446977396033313e-09,-8.984604048711927e-09,9.507039160791974e-09,5.692439355300967e-09,4.295496208754288e-08,-8.319922379999465e-09
81.06575963718821,2.7422026477814096e-06,5.361612976437381e-07,-1.9232472738493196e-07,1.8556203316254516e-07,1.0963339568279701e-07,1.8190037526745424e-07,-1.9447932801870657e-07,8.222235541745643e-08,4.4587743529502294e-09,-6.911400975521822e-09,-2.050063672963145e-08,2.7044210714023454e-08,1.5339009620242168e-09,-6.04756220567057e-09,-9.5907747419542e-09,-1.8071760039526113e-09,-1.7560828227024228e-09,3.736456483463443e-09,4.020124490503339e-09,1.9271514043509273e-08
81.08843537414965,-4.207258452829628e-06,2.7274889786818994e-06,-7.187250662682055e-07,-2.3812568490122367e-07,1.4796402800916623e-07,3.621759697954427e-07,-1.5107376077739008e-07,1.0106417020697439e-08,1.6524262323728675e-09,3.987412514647824e-08,3.340084182201504e-08,4.264460913323652e-08,-9.739706697831711e-08,-3.2934141399608596e-08,-1.5353821611125277e-08,-1.7263919501179517e-08,-1.1199845676810264e-08,-1.3449720672671362e-08,-1.4313875808146839e-08,-4.892939413049972e-09
81.11111111111111,-7.63540800543361e-06,9.823531533479782e-07,1.0319647073108215e-06,3.923048620708081e-07,-5.172237977831998e-08,1.3916828171837953e-07,-6.622213318162388e-08,5.087232090547097e-08,-1.9717718566079763e-08,-1.3865272135692275e-08,-5.388781513021331e-09,-1.8485129808048148e-08,2.4897279184511024e-08,-1.2523432364202094e-08,-2.091102734906816e-09,3.1565044254918294e-09,4.622133008988305e-09,-9.887439870348363e-09,1.1548947451912472e-08,2.847418246598885e-09
81.13378684807256,-4.913558710050506e-06,-2.128003300934975e-06,-3.441685590601284e-07,-2.1905305116993535e-07,-6.43342555441208e-08,1.1772059802349923e-07,-2.173827876302318e-08,5.855056696007582e-09,-5.1881549004802696e-08,-2.9707730636028163e-08,-1.356526467226031e-08,5.135926660964622e-10,3.9459505615190376e-08,-4.1401713624044416e-11,-1.2083241763691935e-08,-7.311589756182181e-09,-4.12768148591482e-09,4.911191407358962e-09,-1.1912638420294709e-08,6.622754599173905e-09
81.15646258503402,2.16749219781869e-06,-1.7989769310656956e-06,-4.81365120385516e-07,7.807259814234848e-08,6.673207857856388e-08,1.0807487956736159e-07,-3.7833004629579704e-08,-4.091475437409348e-11,1.562762272249223e-08,1.694751390906214e-08,8.592860366022386e-09,3.4148280554698e-09,1.1009850685042393e-08,2.1351184405143114e-08,-6.812157874511322e-09,1.2282382849558134e-08,5.257458830470581e-09,1.955794207570479e-08,-1.1289163450368937e-08,-1.1220508843066294e-08
