x (m),u (m)
0.7788944723618091,7.8089856605133e-07
0.7839195979899498,7.484877879037055e-07
0.7889447236180904,7.153442955321001e-07
0.7939698492462312,6.814318695741673e-07
0.7989949748743719,6.467586233070782e-07
0.8040201005025126,6.113772250751366e-07
0.8090452261306533,5.753836719894542e-07
0.8140703517587939,5.389145653413168e-07
0.8190954773869347,5.021428934357998e-07
0.8241206030150754,4.652723963584789e-07
0.8291457286432161,4.2853066577544783e-07
0.8341708542713568,3.9216121551491466e-07
0.8391959798994975,3.5641483819313847e-07
0.8442211055276382,3.215406315605184e-07
0.8492462311557789,2.877771276545135e-07
0.8542713567839196,2.553439813157203e-07
0.8592964824120604,2.2443466702361048e-07
0.864321608040201,1.9521059172838368e-07
0.8693467336683417,1.6779695678379064e-07
0.8743718592964824,1.4228059780281343e-07
0.8793969849246231,1.1870990390568964e-07
0.8844221105527639,9.709677665825477e-08
0.8894472361809045,7.742044512271145e-08
0.8944723618090452,5.963281887317448e-08
0.8994974874371859,4.3664947366006524e-08
0.9045226130653267,2.9434072159255277e-08
0.9095477386934674,1.6850716214936548e-08
0.914572864321608,5.825256713829004e-09
0.9195979899497487,-3.7265245341596045e-09
0.9246231155778895,-1.1879328933685672e-08
0.9296482412060302,-1.869595750213346e-08
0.9346733668341709,-2.4226795379857537e-08
0.9396984924623115,-2.851114085291218e-08
0.9447236180904522,-3.158019386431971e-08
0.949748743718593,-3.346137353606494e-08
0.9547738693467337,-3.41835177564377e-08
0.9597989949748744,-3.378244097842601e-08
0.964824120603015,-3.2306296140297336e-08
0.9698492462311558,-2.9820206015401406e-08
0.9748743718592965,-2.6409696797336735e-08
0.9798994974874372,-2.218257641189229e-08
0.9849246231155779,-1.7269042116940972e-08
0.9899497487437187,-1.181996359286382e-08
0.9949748743718593,-6.003454278013835e-09
1.0,1.974774676916801e-22
